TB_IDN,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06
100202,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100203,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100204,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100205,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100301,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100302,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100303,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100401,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100402,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100403,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
